size_bin,slice_id,D_est
"[47030, 93575)",11,1.2747526003447072
"[47030, 93575)",12,1.2780879765402071
"[47030, 93575)",13,1.282721007822818
"[47030, 93575)",14,1.2886780593239688
"[47030, 93575)",15,1.2940501037217629
"[47030, 93575)",16,1.2986774566351742
"[47030, 93575)",17,1.302541025132773
"[47030, 93575)",18,1.3046117055370956
"[47030, 93575)",19,1.3066615117573201
"[47030, 93575)",20,1.3079478931945983
"[47030, 93575)",21,1.3091546477270704
"[47030, 93575)",22,1.3105998347648176
"[47030, 93575)",23,1.3116274765960576
"[47030, 93575)",24,1.3137026680908095
"[47030, 93575)",25,1.3160240395437566
"[47030, 93575)",26,1.3180484943734823
"[47030, 93575)",27,1.3202068375040483
"[47030, 93575)",28,1.3226564484642747
"[47030, 93575)",29,1.3247525532698066
"[5970, 11880)",0,1.4151541330670947
"[5970, 11880)",1,1.3480105097703654
"[5970, 11880)",2,1.3213129654699907
"[5970, 11880)",3,1.2976896484736884
"[5970, 11880)",4,1.284919945647695
"[5970, 11880)",5,1.2766010637162142
"[5970, 11880)",6,1.2676221394311042
"[5970, 11880)",7,1.2652597717116973
"[5970, 11880)",8,1.2642305454867206
"[5970, 11880)",9,1.2675916739225264
"[5970, 11880)",10,1.2740626501020347
"[5970, 11880)",11,1.2801115732560786
"[5970, 11880)",12,1.2864804544216413
"[5970, 11880)",13,1.293756115657034
"[5970, 11880)",14,1.3000356426903088
"[5970, 11880)",15,1.3036609098218197
"[5970, 11880)",16,1.3056557934328448
"[5970, 11880)",17,1.309257144460424
"[5970, 11880)",18,1.3111870194034185
"[5970, 11880)",19,1.3131495253115844
"[5970, 11880)",20,1.3148160638063802
"[5970, 11880)",21,1.3162832504363664
"[5970, 11880)",22,1.3171966504861132
"[5970, 11880)",23,1.318061795245727
"[5970, 11880)",24,1.3190844948825469
"[5970, 11880)",25,1.321127026352331
"[5970, 11880)",26,1.3228353376862694
"[5970, 11880)",27,1.3250190390334218
"[5970, 11880)",28,1.3275492045854007
"[5970, 11880)",29,1.3301364247395486
"[737051, 1466481)",0,1.3972922893496562
"[737051, 1466481)",1,1.3507672858274011
"[737051, 1466481)",2,1.3262205358574843
"[737051, 1466481)",3,1.313206047711214
"[737051, 1466481)",4,1.2993875476218353
"[737051, 1466481)",5,1.2905031942759024
"[737051, 1466481)",6,1.2913691988652927
"[737051, 1466481)",7,1.2914490714523896
"[737051, 1466481)",8,1.2908609648658755
"[737051, 1466481)",9,1.2917230095421781
"[737051, 1466481)",10,1.2927479972384859
"[737051, 1466481)",11,1.2943805438223157
"[737051, 1466481)",12,1.2973438408320572
"[737051, 1466481)",13,1.2989110199877432
"[737051, 1466481)",14,1.2999793678711042
"[737051, 1466481)",15,1.301554067308816
"[737051, 1466481)",16,1.303205572983006
"[737051, 1466481)",17,1.304078022349386
"[737051, 1466481)",18,1.3044287428242904
"[737051, 1466481)",19,1.3053465433906966
"[737051, 1466481)",20,1.3069542078761114
"[737051, 1466481)",21,1.3079175604528452
"[737051, 1466481)",22,1.3078545120191878
"[737051, 1466481)",23,1.3086121286140702
"[737051, 1466481)",24,1.3098442731111355
"[737051, 1466481)",25,1.311438768198952
"[737051, 1466481)",26,1.3138939680978434
"[737051, 1466481)",27,1.316612923042302
"[737051, 1466481)",28,1.3199526776631554
"[737051, 1466481)",29,1.321557625859197
"[93575, 186182)",0,1.4124116715657102
"[93575, 186182)",1,1.3405308153984588
"[93575, 186182)",2,1.3159833477628682
