bucket,slice_frac,D_true,D_mirror,delta_D
1000-5000,0.15498458458458458,1.328431526583791,1.3218898733016653,-0.006541653282125637
1000-5000,0.1559844844844845,1.328431526583791,1.321457505184164,-0.006974021399626995
1000-5000,0.1569843843843844,1.328431526583791,1.322380448204344,-0.006051078379446961
1000-5000,0.1579842842842843,1.328431526583791,1.3220392305488933,-0.00639229603489766
1000-5000,0.15898418418418417,1.328431526583791,1.3214339688990626,-0.006997557684728317
1000-5000,0.15998408408408407,1.328431526583791,1.321526238328558,-0.006905288255232955
1000-5000,0.16098398398398397,1.328431526583791,1.3224506337812045,-0.005980892802586402
1000-5000,0.16198388388388388,1.328431526583791,1.3209869450689897,-0.007444581514801207
1000-5000,0.16298378378378378,1.328431526583791,1.3209367152203257,-0.0074948113634651925
1000-5000,0.16398368368368368,1.328431526583791,1.3227916456275657,-0.005639880956225252
1000-5000,0.1649835835835836,1.328431526583791,1.3217015831306869,-0.00672994345310407
1000-5000,0.1659834834834835,1.328431526583791,1.3207964171808086,-0.0076351094029822875
1000-5000,0.1669833833833834,1.328431526583791,1.322443158889472,-0.005988367694318875
1000-5000,0.16798328328328327,1.328431526583791,1.3222631522246109,-0.006168374359180051
1000-5000,0.16898318318318317,1.328431526583791,1.3206731805662544,-0.007758346017536555
1000-5000,0.16998308308308308,1.328431526583791,1.3222669568063707,-0.006164569777420192
1000-5000,0.17098298298298298,1.328431526583791,1.3224413884413253,-0.005990138142465629
1000-5000,0.17198288288288288,1.328431526583791,1.3221432662528345,-0.006288260330956419
